,,,,,,,,
,Fund Name,Fund Code,Stock Code,Previous %,Current %,Change %,Change Points,Status
,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,MBVF,PLX,3.23%,2.35%,-0.88%,-0.88,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,VCBFBCF,FPT,7.44%,6.57%,-0.87%,-0.87,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,DCAF,FPT,6.39%,5.55%,-0.84%,-0.84,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,UVEEF,VCB,5.04%,4.21%,-0.83%,-0.83,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,VEOF,STB,6.66%,5.87%,-0.79%,-0.79,CHANGED
,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,VFMVF1,CTG,6.25%,5.49%,-0.76%,-0.76,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,VDEF,VNM,4.61%,3.86%,-0.75%,-0.75,CHANGED
,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,SSISCA,STB,4.80%,4.06%,-0.74%,-0.74,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,KDEF,HPG,4.81%,4.09%,-0.72%,-0.72,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,VEOF,DXG,5.30%,4.62%,-0.68%,-0.68,CHANGED
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,HPG,0.64%,0.00%,-0.64%,-0.64,REMOVED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,BMFF,VEA,2.84%,2.22%,-0.62%,-0.62,CHANGED
,QUỸ ĐẦU TƯ GIA TĂNG GIÁ TRỊ GFM,GFMVIF,VCB,0.57%,0.00%,-0.57%,-0.57,REMOVED
